PatchVersion BranchName PatchReleaseDate BaseVersion BaseCommit BaseReleaseDate
3.2.14-rt24 analysis-3.2.14-rt24 2012-04-10 3.2.14 v3.2.14 2012-04-02
3.2.15-rt25 analysis-3.2.15-rt25 2012-04-17 3.2.15 v3.2.15 2012-04-13
3.2.16-rt27 analysis-3.2.16-rt27 2012-04-23 3.2.16 v3.2.16 2012-04-23
3.2.17-rt28 analysis-3.2.17-rt28 2012-05-14 3.2.17 v3.2.17 2012-05-11
3.2.18-rt29 analysis-3.2.18-rt29 2012-05-22 3.2.18 v3.2.18 2012-05-20
3.2.19-rt30 analysis-3.2.19-rt30 2012-06-06 3.2.19 v3.2.19 2012-05-31
3.2.19-rt31 analysis-3.2.19-rt31 2012-06-12 3.2.19 v3.2.19 2012-05-31
3.2.20-rt32 analysis-3.2.20-rt32 2012-06-12 3.2.20 v3.2.20 2012-06-10
3.2.21-rt33 analysis-3.2.21-rt33 2012-06-25 3.2.21 v3.2.21 2012-06-20
3.2.22-rt34 analysis-3.2.22-rt34 2012-07-07 3.2.22 v3.2.22 2012-07-04
3.2.22-rt35 analysis-3.2.22-rt35 2012-07-16 3.2.22 v3.2.22 2012-07-04
3.2.23-rt36 analysis-3.2.23-rt36 2012-07-18 3.2.23 v3.2.23 2012-07-12
3.2.23-rt37 analysis-3.2.23-rt37 2012-07-19 3.2.23 v3.2.23 2012-07-12
3.2.24-rt38 analysis-3.2.24-rt38 2012-08-03 3.2.24 v3.2.24 2012-07-25
3.2.26-rt39 analysis-3.2.26-rt39 2012-08-07 3.2.26 v3.2.26 2012-08-04
3.2.27-rt40 analysis-3.2.27-rt40 2012-08-14 3.2.27 v3.2.27 2012-08-10
3.2.28-rt41 analysis-3.2.28-rt41 2012-08-25 3.2.28 v3.2.28 2012-08-19
3.2.28-rt42 analysis-3.2.28-rt42 2012-08-30 3.2.28 v3.2.28 2012-08-19
3.2.28-rt43 analysis-3.2.28-rt43 2012-09-17 3.2.28 v3.2.28 2012-08-19
3.2.29-rt44 analysis-3.2.29-rt44 2012-09-18 3.2.29 v3.2.29 2012-09-12
3.2.30-rt45 analysis-3.2.30-rt45 2012-09-27 3.2.30 v3.2.30 2012-09-19
3.2.31-rt46 analysis-3.2.31-rt46 2012-10-11 3.2.31 v3.2.31 2012-10-10
3.2.31-rt47 analysis-3.2.31-rt47 2012-10-16 3.2.31 v3.2.31 2012-10-10
3.2.32-rt48 analysis-3.2.32-rt48 2012-10-20 3.2.32 v3.2.32 2012-10-17
3.2.32-rt49 analysis-3.2.32-rt49 2012-11-03 3.2.32 v3.2.32 2012-10-17
3.2.33-rt50 analysis-3.2.33-rt50 2012-11-06 3.2.33 v3.2.33 2012-10-31
3.2.34-rt51 analysis-3.2.34-rt51 2012-11-20 3.2.34 v3.2.34 2012-11-16
3.2.35-rt52 analysis-3.2.35-rt52 2012-12-11 3.2.35 v3.2.35 2012-12-06
3.2.35-rt53 analysis-3.2.35-rt53 2012-12-27 3.2.35 v3.2.35 2012-12-06
3.2.36-rt54 analysis-3.2.36-rt54 2013-01-05 3.2.36 v3.2.36 2013-01-03
3.2.37-rt55 analysis-3.2.37-rt55 2013-01-18 3.2.37 v3.2.37 2013-01-16
3.2.38-rt56 analysis-3.2.38-rt56 2013-02-06 3.2.38 v3.2.38 2013-02-06
3.2.38-rt57 analysis-3.2.38-rt57 2013-02-14 3.2.38 v3.2.38 2013-02-06
3.2.38-rt58 analysis-3.2.38-rt58 2013-02-22 3.2.38 v3.2.38 2013-02-06
3.2.39-rt59 analysis-3.2.39-rt59 2013-02-26 3.2.39 v3.2.39 2013-02-20
3.2.40-rt60 analysis-3.2.40-rt60 2013-03-22 3.2.40 v3.2.40 2013-03-06
3.2.42-rt62 analysis-3.2.42-rt62 2013-03-29 3.2.42 v3.2.42 2013-03-27
3.2.43-rt63 analysis-3.2.43-rt63 2013-04-12 3.2.43 v3.2.43 2013-04-10
3.2.44-rt64 analysis-3.2.44-rt64 2013-05-01 3.2.44 v3.2.44 2013-04-25
3.2.44-rt65 analysis-3.2.44-rt65 2013-05-07 3.2.44 v3.2.44 2013-04-25
3.2.45-rt66 analysis-3.2.45-rt66 2013-05-20 3.2.45 v3.2.45 2013-05-13
3.2.46-rt67 analysis-3.2.46-rt67 2013-06-07 3.2.46 v3.2.46 2013-05-30
3.2.47-rt68 analysis-3.2.47-rt68 2013-06-28 3.2.47 v3.2.47 2013-06-19
3.2.48-rt69 analysis-3.2.48-rt69 2013-07-10 3.2.48 v3.2.48 2013-06-29
3.2.50-rt70 analysis-3.2.50-rt70 2013-08-17 3.2.50 v3.2.50 2013-08-02
3.2.50-rt71 analysis-3.2.50-rt71 2013-09-12 3.2.50 v3.2.50 2013-08-02
3.2.51-rt72 analysis-3.2.51-rt72 2013-09-13 3.2.51 v3.2.51 2013-09-10
3.2.52-rt73 analysis-3.2.52-rt73 2013-11-20 3.2.52 v3.2.52 2013-10-26
3.2.52-rt74 analysis-3.2.52-rt74 2013-12-02 3.2.52 v3.2.52 2013-10-26
3.2.53-rt75 analysis-3.2.53-rt75 2013-12-04 3.2.53 v3.2.53 2013-11-28
3.2.53-rt76 analysis-3.2.53-rt76 2014-01-17 3.2.53 v3.2.53 2013-11-28
3.2.54-rt77 analysis-3.2.54-rt77 2014-01-18 3.2.54 v3.2.54 2014-01-03
3.2.55-rt78 analysis-3.2.55-rt78 2014-02-27 3.2.55 v3.2.55 2014-02-15
3.2.55-rt79 analysis-3.2.55-rt79 2014-03-07 3.2.55 v3.2.55 2014-02-15
3.2.55-rt80 analysis-3.2.55-rt80 2014-03-12 3.2.55 v3.2.55 2014-02-15
3.2.55-rt81 analysis-3.2.55-rt81 2014-03-18 3.2.55 v3.2.55 2014-02-15
3.2.57-rt83 analysis-3.2.57-rt83 2014-04-25 3.2.57 v3.2.57 2014-04-09
3.2.57-rt84 analysis-3.2.57-rt84 2014-04-30 3.2.57 v3.2.57 2014-04-09
3.2.58-rt85 analysis-3.2.58-rt85 2014-05-13 3.2.58 v3.2.58 2014-04-30
3.2.60-rt87 analysis-3.2.60-rt87 2014-06-19 3.2.60 v3.2.60 2014-06-09
3.2.60-rt88 analysis-3.2.60-rt88 2014-07-09 3.2.60 v3.2.60 2014-06-09
3.2.60-rt89 analysis-3.2.60-rt89 2014-07-17 3.2.60 v3.2.60 2014-06-09
3.2.63-rt92 analysis-3.2.63-rt92 2014-10-30 3.2.63 v3.2.63 2014-09-14
3.2.63-rt93 analysis-3.2.63-rt93 2014-11-04 3.2.63 v3.2.63 2014-09-14
3.2.64-rt94 analysis-3.2.64-rt94 2014-11-26 3.2.64 v3.2.64 2014-11-05
3.2.68-rt98 analysis-3.2.68-rt98 2015-03-06 3.2.68 v3.2.68 2015-03-06
3.2.68-rt99 analysis-3.2.68-rt99 2015-03-20 3.2.68 v3.2.68 2015-03-06
3.2.68-rt100 analysis-3.2.68-rt100 2015-05-20 3.2.68 v3.2.68 2015-03-06
3.2.69-rt101 analysis-3.2.69-rt101 2015-05-21 3.2.69 v3.2.69 2015-05-10
3.2.69-rt102 analysis-3.2.69-rt102 2015-08-10 3.2.69 v3.2.69 2015-05-10
3.2.70-rt103 analysis-3.2.70-rt103 2015-08-11 3.2.70 v3.2.70 2015-08-07
3.2.71-rt104 analysis-3.2.71-rt104 2015-08-18 3.2.71 v3.2.71 2015-08-12
3.2.72-rt105 analysis-3.2.72-rt105 2015-11-12 3.2.72 v3.2.72 2015-10-13
3.2.75-rt108 analysis-3.2.75-rt108 2016-01-13 3.2.75 v3.2.75 2015-12-30
3.4-rc2-rt1 analysis-3.4-rc2-rt1 2012-04-10 3.4-rc2 v3.4-rc2 2012-04-08
3.4-rc2-rt2 analysis-3.4-rc2-rt2 2012-04-11 3.4-rc2 v3.4-rc2 2012-04-08
3.4-rc2-rt3 analysis-3.4-rc2-rt3 2012-04-13 3.4-rc2 v3.4-rc2 2012-04-08
3.4-rc2-rt4 analysis-3.4-rc2-rt4 2012-04-13 3.4-rc2 v3.4-rc2 2012-04-08
3.4-rc3-rt5 analysis-3.4-rc3-rt5 2012-04-16 3.4-rc3 v3.4-rc3 2012-04-16
3.4-rc5-rt6 analysis-3.4-rc5-rt6 2012-04-30 3.4-rc5 v3.4-rc5 2012-04-30
3.4-rt7 analysis-3.4-rt7 2012-04-30 3.4 v3.4 2012-05-21
3.4-rt8 analysis-3.4-rt8 2012-06-04 3.4 v3.4 2012-05-21
3.4.1-rt9 analysis-3.4.1-rt9 2012-06-07 3.4.1 v3.4.1 2012-06-01
3.4.2-rt10 analysis-3.4.2-rt10 2012-06-12 3.4.2 v3.4.2 2012-06-09
3.4.3-rt11 analysis-3.4.3-rt11 2012-06-19 3.4.3 v3.4.3 2012-06-17
3.4.3-rt12 analysis-3.4.3-rt12 2012-06-25 3.4.3 v3.4.3 2012-06-17
3.4.4-rt13 analysis-3.4.4-rt13 2012-06-25 3.4.4 v3.4.4 2012-06-22
3.4.4-rt14 analysis-3.4.4-rt14 2012-07-19 3.4.4 v3.4.4 2012-06-22
3.4.7-rt15 analysis-3.4.7-rt15 2012-08-03 3.4.7 v3.4.7 2012-07-29
3.4.8-rt16 analysis-3.4.8-rt16 2012-08-10 3.4.8 v3.4.8 2012-08-09
3.4.9-rt17 analysis-3.4.9-rt17 2012-08-16 3.4.9 v3.4.9 2012-08-15
3.4.10-rt18 analysis-3.4.10-rt18 2012-08-27 3.4.10 v3.4.10 2012-08-27
3.4.11-rt19 analysis-3.4.11-rt19 2012-09-18 3.4.11 v3.4.11 2012-09-15
3.4.12-rt20 analysis-3.4.12-rt20 2012-10-08 3.4.12 v3.4.12 2012-10-02
3.4.13-rt21 analysis-3.4.13-rt21 2012-10-09 3.4.13 v3.4.13 2012-10-07
3.4.13-rt22 analysis-3.4.13-rt22 2012-10-16 3.4.13 v3.4.13 2012-10-07
3.4.14-rt23 analysis-3.4.14-rt23 2012-10-20 3.4.14 v3.4.14 2012-10-12
3.4.15-rt24 analysis-3.4.15-rt24 2012-10-26 3.4.15 v3.4.15 2012-10-21
3.4.15-rt25 analysis-3.4.15-rt25 2012-10-30 3.4.15 v3.4.15 2012-10-21
3.4.15-rt26 analysis-3.4.15-rt26 2012-11-03 3.4.15 v3.4.15 2012-10-21
3.4.17-rt28 analysis-3.4.17-rt28 2012-11-06 3.4.17 v3.4.17 2012-10-31
3.4.18-rt29 analysis-3.4.18-rt29 2012-11-08 3.4.18 v3.4.18 2012-11-05
3.4.19-rt30 analysis-3.4.19-rt30 2012-11-20 3.4.19 v3.4.19 2012-11-17
3.4.20-rt31 analysis-3.4.20-rt31 2012-11-28 3.4.20 v3.4.20 2012-11-26
3.4.21-rt32 analysis-3.4.21-rt32 2012-12-04 3.4.21 v3.4.21 2012-12-03
3.4.22-rt33 analysis-3.4.22-rt33 2012-12-11 3.4.22 v3.4.22 2012-12-06
3.4.24-rt35 analysis-3.4.24-rt35 2012-12-20 3.4.24 v3.4.24 2012-12-17
3.4.24-rt36 analysis-3.4.24-rt36 2012-12-27 3.4.24 v3.4.24 2012-12-17
3.4.25-rt37 analysis-3.4.25-rt37 2013-01-18 3.4.25 v3.4.25 2013-01-11
3.4.27-rt39 analysis-3.4.27-rt39 2013-01-24 3.4.27 v3.4.27 2013-01-21
3.4.28-rt40 analysis-3.4.28-rt40 2013-01-31 3.4.28 v3.4.28 2013-01-28
3.4.29-rt41 analysis-3.4.29-rt41 2013-02-06 3.4.29 v3.4.29 2013-02-04
3.4.29-rt42 analysis-3.4.29-rt42 2013-02-14 3.4.29 v3.4.29 2013-02-04
3.4.30-rt43 analysis-3.4.30-rt43 2013-02-14 3.4.30 v3.4.30 2013-02-11
3.4.32-rt45 analysis-3.4.32-rt45 2013-02-19 3.4.32 v3.4.32 2013-02-17
3.4.32-rt46 analysis-3.4.32-rt46 2013-02-22 3.4.32 v3.4.32 2013-02-17
3.4.33-rt47 analysis-3.4.33-rt47 2013-02-26 3.4.33 v3.4.33 2013-02-21
3.4.36-rt50 analysis-3.4.36-rt50 2013-03-22 3.4.36 v3.4.36 2013-03-14
3.4.37-rt51 analysis-3.4.37-rt51 2013-03-29 3.4.37 v3.4.37 2013-03-20
3.4.39-rt53 analysis-3.4.39-rt53 2013-04-12 3.4.39 v3.4.39 2013-04-05
3.4.41-rt55 analysis-3.4.41-rt55 2013-04-23 3.4.41 v3.4.41 2013-04-17
3.4.42-rt56 analysis-3.4.42-rt56 2013-05-01 3.4.42 v3.4.42 2013-04-26
3.4.42-rt57 analysis-3.4.42-rt57 2013-05-07 3.4.42 v3.4.42 2013-04-26
3.4.45-rt60 analysis-3.4.45-rt60 2013-05-20 3.4.45 v3.4.45 2013-05-11
3.4.47-rt62 analysis-3.4.47-rt62 2013-05-30 3.4.47 v3.4.47 2013-05-24
3.4.50-rt65 analysis-3.4.50-rt65 2013-06-28 3.4.50 v3.4.50 2013-06-20
3.4.52-rt67 analysis-3.4.52-rt67 2013-07-10 3.4.52 v3.4.52 2013-07-03
3.4.57-rt72 analysis-3.4.57-rt72 2013-08-17 3.4.57 v3.4.57 2013-08-12
3.4.57-rt73 analysis-3.4.57-rt73 2013-09-12 3.4.57 v3.4.57 2013-08-12
3.4.61-rt77 analysis-3.4.61-rt77 2013-09-13 3.4.61 v3.4.61 2013-09-08
3.4.67-rt83 analysis-3.4.67-rt83 2013-10-24 3.4.67 v3.4.67 2013-10-22
3.4.69-rt85 analysis-3.4.69-rt85 2013-11-20 3.4.69 v3.4.69 2013-11-13
3.4.69-rt86 analysis-3.4.69-rt86 2013-12-02 3.4.69 v3.4.69 2013-11-13
3.4.71-rt88 analysis-3.4.71-rt88 2013-12-04 3.4.71 v3.4.71 2013-11-29
3.4.72-rt89 analysis-3.4.72-rt89 2013-12-07 3.4.72 v3.4.72 2013-12-04
3.4.72-rt90 analysis-3.4.72-rt90 2013-12-17 3.4.72 v3.4.72 2013-12-04
3.4.74-rt92 analysis-3.4.74-rt92 2013-12-18 3.4.74 v3.4.74 2013-12-12
3.4.75-rt93 analysis-3.4.75-rt93 2014-01-04 3.4.75 v3.4.75 2013-12-20
3.4.76-rt94 analysis-3.4.76-rt94 2014-01-16 3.4.76 v3.4.76 2014-01-08
3.4.77-rt95 analysis-3.4.77-rt95 2014-01-18 3.4.77 v3.4.77 2014-01-16
3.4.82-rt100 analysis-3.4.82-rt100 2014-02-27 3.4.82 v3.4.82 2014-02-22
3.4.82-rt101 analysis-3.4.82-rt101 2014-03-07 3.4.82 v3.4.82 2014-02-22
3.4.82-rt102 analysis-3.4.82-rt102 2014-03-12 3.4.82 v3.4.82 2014-02-22
3.4.82-rt103 analysis-3.4.82-rt103 2014-03-18 3.4.82 v3.4.82 2014-02-22
3.4.84-rt105 analysis-3.4.84-rt105 2014-03-24 3.4.84 v3.4.84 2014-03-24
3.4.87-rt108 analysis-3.4.87-rt108 2014-04-25 3.4.87 v3.4.87 2014-04-14
3.4.87-rt109 analysis-3.4.87-rt109 2014-04-30 3.4.87 v3.4.87 2014-04-14
3.4.89-rt111 analysis-3.4.89-rt111 2014-05-13 3.4.89 v3.4.89 2014-05-06
3.4.94-rt116 analysis-3.4.94-rt116 2014-06-19 3.4.94 v3.4.94 2014-06-16
3.4.94-rt117 analysis-3.4.94-rt117 2014-07-09 3.4.94 v3.4.94 2014-06-16
3.4.97-rt120 analysis-3.4.97-rt120 2014-07-10 3.4.97 v3.4.97 2014-07-07
3.4.97-rt121 analysis-3.4.97-rt121 2014-07-17 3.4.97 v3.4.97 2014-07-07
3.4.104-rt128 analysis-3.4.104-rt128 2014-10-30 3.4.104 v3.4.104 2014-09-25
3.4.105-rt129 analysis-3.4.105-rt129 2015-01-20 3.4.105 v3.4.105 2014-12-01
3.4.106-rt131 analysis-3.4.106-rt131 2015-02-06 3.4.106 v3.4.106 2015-02-02
3.4.106-rt132 analysis-3.4.106-rt132 2015-03-20 3.4.106 v3.4.106 2015-02-02
3.4.107-rt133 analysis-3.4.107-rt133 2015-04-22 3.4.107 v3.4.107 2015-04-14
3.4.107-rt134 analysis-3.4.107-rt134 2015-05-20 3.4.107 v3.4.107 2015-04-14
3.4.108-rt135 analysis-3.4.108-rt135 2015-06-24 3.4.108 v3.4.108 2015-06-19
3.4.108-rt136 analysis-3.4.108-rt136 2015-08-10 3.4.108 v3.4.108 2015-06-19
3.4.110-rt138 analysis-3.4.110-rt138 2015-11-13 3.4.110 v3.4.110 2015-10-22
3.6.1-rt1 analysis-3.6.1-rt1 2012-10-09 3.6.1 v3.6.1 2012-10-07
3.6.1-rt2 analysis-3.6.1-rt2 2012-10-16 3.6.1 v3.6.1 2012-10-07
3.6.1-rt3 analysis-3.6.1-rt3 2012-10-18 3.6.1 v3.6.1 2012-10-07
3.6.2-rt4 analysis-3.6.2-rt4 2012-10-20 3.6.2 v3.6.2 2012-10-12
3.6.2-rt5 analysis-3.6.2-rt5 2012-10-20 3.6.2 v3.6.2 2012-10-12
3.6.3-rt6 analysis-3.6.3-rt6 2012-10-23 3.6.3 v3.6.3 2012-10-21
3.6.3-rt7 analysis-3.6.3-rt7 2012-10-26 3.6.3 v3.6.3 2012-10-21
3.6.3-rt8 analysis-3.6.3-rt8 2012-10-27 3.6.3 v3.6.3 2012-10-21
3.6.3-rt9 analysis-3.6.3-rt9 2012-10-28 3.6.3 v3.6.3 2012-10-21
3.6.4-rt10 analysis-3.6.4-rt10 2012-10-29 3.6.4 v3.6.4 2012-10-28
3.6.4-rt11 analysis-3.6.4-rt11 2012-10-31 3.6.4 v3.6.4 2012-10-28
3.6.4-rt12 analysis-3.6.4-rt12 2012-11-01 3.6.4 v3.6.4 2012-10-28
3.6.5-rt13 analysis-3.6.5-rt13 2012-11-01 3.6.5 v3.6.5 2012-10-31
3.6.5-rt14 analysis-3.6.5-rt14 2012-11-01 3.6.5 v3.6.5 2012-10-31
3.6.5-rt15 analysis-3.6.5-rt15 2012-11-02 3.6.5 v3.6.5 2012-10-31
3.6.6-rt16 analysis-3.6.6-rt16 2012-11-12 3.6.6 v3.6.6 2012-11-05
3.6.6-rt17 analysis-3.6.6-rt17 2012-11-12 3.6.6 v3.6.6 2012-11-05
3.6.7-rt18 analysis-3.6.7-rt18 2012-11-20 3.6.7 v3.6.7 2012-11-17
3.6.8-rt19 analysis-3.6.8-rt19 2012-12-03 3.6.8 v3.6.8 2012-11-26
3.6.9-rt20 analysis-3.6.9-rt20 2012-12-05 3.6.9 v3.6.9 2012-12-03
3.6.9-rt21 analysis-3.6.9-rt21 2012-12-05 3.6.9 v3.6.9 2012-12-03
3.6.10-rt22 analysis-3.6.10-rt22 2012-12-11 3.6.10 v3.6.10 2012-12-10
3.6.11-rt23 analysis-3.6.11-rt23 2012-12-19 3.6.11 v3.6.11 2012-12-17
3.6.11-rt24 analysis-3.6.11-rt24 2012-12-21 3.6.11 v3.6.11 2012-12-17
3.6.11-rt25 analysis-3.6.11-rt25 2012-12-21 3.6.11 v3.6.11 2012-12-17
3.6.11-rt26 analysis-3.6.11-rt26 2013-02-04 3.6.11 v3.6.11 2012-12-17
3.6.11-rt27 analysis-3.6.11-rt27 2013-02-04 3.6.11 v3.6.11 2012-12-17
3.6.11-rt28 analysis-3.6.11-rt28 2013-02-04 3.6.11 v3.6.11 2012-12-17
3.6.11-rt29 analysis-3.6.11-rt29 2013-02-13 3.6.11 v3.6.11 2012-12-17
3.6.11-rt30 analysis-3.6.11-rt30 2013-02-18 3.6.11 v3.6.11 2012-12-17
3.6.11-rt31 analysis-3.6.11-rt31 2013-03-22 3.6.11 v3.6.11 2012-12-17
3.8.4-rt1 analysis-3.8.4-rt1 2013-03-22 3.8.4 v3.8.4 2013-03-20
3.8.4-rt2 analysis-3.8.4-rt2 2013-03-26 3.8.4 v3.8.4 2013-03-20
3.8.9-rt3 analysis-3.8.9-rt3 2013-04-26 3.8.9 v3.8.9 2013-04-25
3.8.9-rt4 analysis-3.8.9-rt4 2013-04-27 3.8.9 v3.8.9 2013-04-25
3.8.10-rt5 analysis-3.8.10-rt5 2013-04-29 3.8.10 v3.8.10 2013-04-26
3.8.10-rt6 analysis-3.8.10-rt6 2013-04-29 3.8.10 v3.8.10 2013-04-26
3.8.11-rt7 analysis-3.8.11-rt7 2013-05-06 3.8.11 v3.8.11 2013-05-01
3.8.11-rt8 analysis-3.8.11-rt8 2013-05-06 3.8.11 v3.8.11 2013-05-01
3.8.13-rt9 analysis-3.8.13-rt9 2013-05-21 3.8.13 v3.8.13 2013-05-11
3.8.13-rt10 analysis-3.8.13-rt10 2013-05-31 3.8.13 v3.8.13 2013-05-11
3.8.13-rt11 analysis-3.8.13-rt11 2013-06-14 3.8.13 v3.8.13 2013-05-11
3.8.13-rt12 analysis-3.8.13-rt12 2013-06-21 3.8.13 v3.8.13 2013-05-11
3.8.13-rt13 analysis-3.8.13-rt13 2013-06-28 3.8.13 v3.8.13 2013-05-11
3.8.13-rt14 analysis-3.8.13-rt14 2013-07-11 3.8.13 v3.8.13 2013-05-11
3.8.13-rt15 analysis-3.8.13-rt15 2013-08-15 3.8.13 v3.8.13 2013-05-11
3.8.13-rt16 analysis-3.8.13-rt16 2013-09-12 3.8.13 v3.8.13 2013-05-11
3.10.4-rt1 analysis-3.10.4-rt1 2013-08-01 3.10.4 v3.10.4 2013-07-29
3.10.6-rt2 analysis-3.10.6-rt2 2013-08-12 3.10.6 v3.10.6 2013-08-12
3.10.6-rt3 analysis-3.10.6-rt3 2013-08-12 3.10.6 v3.10.6 2013-08-12
3.10.9-rt4 analysis-3.10.9-rt4 2013-08-21 3.10.9 v3.10.9 2013-08-21
3.10.9-rt5 analysis-3.10.9-rt5 2013-08-22 3.10.9 v3.10.9 2013-08-21
3.10.10-rt6 analysis-3.10.10-rt6 2013-08-29 3.10.10 v3.10.10 2013-08-29
3.10.10-rt7 analysis-3.10.10-rt7 2013-08-29 3.10.10 v3.10.10 2013-08-29
3.10.14-rt8 analysis-3.10.14-rt8 2013-10-04 3.10.14 v3.10.14 2013-10-01
3.10.14-rt9 analysis-3.10.14-rt9 2013-10-05 3.10.14 v3.10.14 2013-10-01
3.10.15-rt10 analysis-3.10.15-rt10 2013-10-11 3.10.15 v3.10.15 2013-10-05
3.10.15-rt11 analysis-3.10.15-rt11 2013-10-11 3.10.15 v3.10.15 2013-10-05
3.10.17-rt12 analysis-3.10.17-rt12 2013-10-28 3.10.17 v3.10.17 2013-10-18
3.10.18-rt13 analysis-3.10.18-rt13 2013-11-08 3.10.18 v3.10.18 2013-11-04
3.10.18-rt14 analysis-3.10.18-rt14 2013-11-08 3.10.18 v3.10.18 2013-11-04
3.10.19-rt16 analysis-3.10.19-rt16 2013-11-19 3.10.19 v3.10.19 2013-11-13
3.10.20-rt17 analysis-3.10.20-rt17 2013-11-21 3.10.20 v3.10.20 2013-11-20
3.10.21-rt18 analysis-3.10.21-rt18 2013-12-04 3.10.21 v3.10.21 2013-11-29
3.10.22-rt19 analysis-3.10.22-rt19 2013-12-07 3.10.22 v3.10.22 2013-12-04
3.10.22-rt20 analysis-3.10.22-rt20 2013-12-17 3.10.22 v3.10.22 2013-12-04
3.10.24-rt22 analysis-3.10.24-rt22 2013-12-18 3.10.24 v3.10.24 2013-12-12
3.10.25-rt23 analysis-3.10.25-rt23 2014-01-04 3.10.25 v3.10.25 2013-12-20
3.10.26-rt24 analysis-3.10.26-rt24 2014-01-16 3.10.26 v3.10.26 2014-01-09
3.10.27-rt25 analysis-3.10.27-rt25 2014-01-18 3.10.27 v3.10.27 2014-01-16
3.10.32-rt30 analysis-3.10.32-rt30 2014-02-27 3.10.32 v3.10.32 2014-02-22
3.10.32-rt31 analysis-3.10.32-rt31 2014-03-03 3.10.32 v3.10.32 2014-02-22
3.10.33-rt32 analysis-3.10.33-rt32 2014-03-10 3.10.33 v3.10.33 2014-03-07
3.10.33-rt33 analysis-3.10.33-rt33 2014-03-18 3.10.33 v3.10.33 2014-03-07
3.10.34-rt34 analysis-3.10.34-rt34 2014-03-24 3.10.34 v3.10.34 2014-03-24
3.10.37-rt37 analysis-3.10.37-rt37 2014-04-25 3.10.37 v3.10.37 2014-04-14
3.10.37-rt38 analysis-3.10.37-rt38 2014-04-30 3.10.37 v3.10.37 2014-04-14
3.10.39-rt40 analysis-3.10.39-rt40 2014-05-13 3.10.39 v3.10.39 2014-05-06
3.10.44-rt45 analysis-3.10.44-rt45 2014-06-19 3.10.44 v3.10.44 2014-06-16
3.10.44-rt46 analysis-3.10.44-rt46 2014-07-09 3.10.44 v3.10.44 2014-06-16
3.10.47-rt49 analysis-3.10.47-rt49 2014-07-10 3.10.47 v3.10.47 2014-07-07
3.10.47-rt50 analysis-3.10.47-rt50 2014-07-17 3.10.47 v3.10.47 2014-07-07
3.10.58-rt62 analysis-3.10.58-rt62 2014-10-30 3.10.58 v3.10.58 2014-10-15
3.10.61-rt65 analysis-3.10.61-rt65 2014-11-26 3.10.61 v3.10.61 2014-11-21
3.10.64-rt68 analysis-3.10.64-rt68 2015-01-17 3.10.64 v3.10.64 2015-01-08
3.10.65-rt69 analysis-3.10.65-rt69 2015-01-20 3.10.65 v3.10.65 2015-01-16
3.10.67-rt71 analysis-3.10.67-rt71 2015-02-06 3.10.67 v3.10.67 2015-01-30
3.10.70-rt74 analysis-3.10.70-rt74 2015-03-06 3.10.70 v3.10.70 2015-02-27
3.10.70-rt75 analysis-3.10.70-rt75 2015-03-20 3.10.70 v3.10.70 2015-02-27
3.10.72-rt77 analysis-3.10.72-rt77 2015-03-23 3.10.72 v3.10.72 2015-03-18
3.10.74-rt79 analysis-3.10.74-rt79 2015-04-15 3.10.74 v3.10.74 2015-04-13
3.10.75-rt80 analysis-3.10.75-rt80 2015-04-22 3.10.75 v3.10.75 2015-04-19
3.10.75-rt81 analysis-3.10.75-rt81 2015-05-20 3.10.75 v3.10.75 2015-04-19
3.10.79-rt85 analysis-3.10.79-rt85 2015-05-21 3.10.79 v3.10.79 2015-05-17
3.10.81-rt88 analysis-3.10.81-rt88 2015-06-24 3.10.81 v3.10.81 2015-06-23
3.10.82-rt89 analysis-3.10.82-rt89 2015-07-02 3.10.82 v3.10.82 2015-06-29
3.10.84-rt91 analysis-3.10.84-rt91 2015-08-07 3.10.84 v3.10.84 2015-07-10
3.10.84-rt92 analysis-3.10.84-rt92 2015-08-10 3.10.84 v3.10.84 2015-07-10
3.10.85-rt93 analysis-3.10.85-rt93 2015-08-11 3.10.85 v3.10.85 2015-08-03
3.10.89-rt97 analysis-3.10.89-rt97 2015-10-01 3.10.89 v3.10.89 2015-09-21
3.10.93-rt101 analysis-3.10.93-rt101 2015-11-12 3.10.93 v3.10.93 2015-11-09
3.10.94-rt102 analysis-3.10.94-rt102 2016-01-13 3.10.94 v3.10.94 2015-12-09
3.12.0-rt1 analysis-3.12.0-rt1 2013-11-10 3.12.0 v3.12 2013-11-03
3.12.0-rt2 analysis-3.12.0-rt2 2013-11-16 3.12.0 v3.12 2013-11-03
3.12.1-rt3 analysis-3.12.1-rt3 2013-11-22 3.12.1 v3.12.1 2013-11-20
3.12.1-rt4 analysis-3.12.1-rt4 2013-11-22 3.12.1 v3.12.1 2013-11-20
3.12.5-rt5 analysis-3.12.5-rt5 2013-12-15 3.12.5 v3.12.5 2013-12-12
3.12.5-rt6 analysis-3.12.5-rt6 2013-12-16 3.12.5 v3.12.5 2013-12-12
3.12.5-rt7 analysis-3.12.5-rt7 2013-12-17 3.12.5 v3.12.5 2013-12-12
3.12.6-rt8 analysis-3.12.6-rt8 2013-12-23 3.12.6 v3.12.6 2013-12-20
3.12.6-rt9 analysis-3.12.6-rt9 2013-12-23 3.12.6 v3.12.6 2013-12-20
3.12.8-rt10 analysis-3.12.8-rt10 2014-01-17 3.12.8 v3.12.8 2014-01-16
